ki,en,fr
agahungarema,bat,chauve-souris
akabati,cupboard,armoire
akadede,pearls,perles
akayabu,cat,chat
amahaha,lungs,poumons
amahera,money,argent
amaraso,blood,sang
amarori,glasses,lunettes
amata,milk,lait
ibabi,leaf,feuille
ibakure,bowl,bol
ibarabara,road,route
ibiharage,beans,haricots
ibitaro,hospital,hôpital
ibiyoba,peanut,cacahuète
ibungo,fruit de la passion,passion fruit
ibuye,stone,pierre
icari,nest,niz
icayi,tea,thé
icirore,mirror,mirroir
icumu,spear,lance
icupa,bottle,bouteille
idubu,bear,ours
ifarasi,horse,cheval
ifi,fish,poisson
ifuro,foam,mousse
igi,egg,oeuf
igifyera,snail,escargot
igihere,bedbug,punaise de lit
igikere,frog,grenouille
igikopo,tin can,boîte de conserve
igisafu,goose,oie
igitabo,book,livre
igitangurirwa ,spider,arraignée
igiti,tree,arbre
igitoke,green banana,banane verte
igitunguru,onion,oignon
igitunguru sumu,garlic,ail
ihereni,earring,boucle d'oreille
ijerikani,jerrican,jerrican
ijoro,night,nuit
ijuru,sky,ciel
ikaramu,pen,stylo
ikaroti,carrot,carotte
ikawa,coffee,café
ikaye,notebook,cahier
ikete,letter,lettre
ikigori,corn,maÏs
ikijumbu,sweet potato,patate douce
ikinogo,hole,trou
ikinyenzi,cockroach,cafard
ikinyugunyugu,butterfly,papillon
ikirahuri,glass,verre
ikiraya,potato,pomme de terre
ikiyiko,spoon,cuillère
ikizinu,mushroom,champignon
ikoti,coat,manteau
imbata,duck,canard
imbeba,mouse,souris
imbogo,buffalo,buffle
imbwa,dog,chien
imbwebwe,fox,renard
imetero,meter,mètre
imeza,table,table
imfuku,mole,taupe
imfyisi,hyena,hyène
imikerera,green beans,haricot vert
imodoka,car,voiture
imparage,zebra,zèbre
impene,goat,chèvre
impongo,antelope,antilope
imvubu,hipopotamus,hippopotame
inanasi,pineapple,ananas
indimu,lemon,citron
indogobwa,donkey,âne
ingamiya,camel,chameau
ingano,wheat,blé
ingeregere,gazelle,gazelle
ingona,crocodile,crocodile
ingurube,pig,cochon
inka,cow,vache
inkende,monkey,singe
inkere,berries,baies
inkoko,chicken,poule
inoti,banknote,billet
intama,sheep,mouton
intare,lion,lion
intore,eggplant,aubergine
intumbaswa,physalis,physalis
inuma,pigeon,pigeon
inyama ya kibizi,calf,mollet
inyoni,bird,oiseau
inzige,cricket,criquet
inzoka,snake,serpent
inzovu,elephant,éléphant
ipapayi,papaya,papaye
ipera,guave,goyave
ipiripiri,chilli,piment
iradiyo,radio,radio
isaha,clock,horloge
isahani,plate,assiette
isake,rooster,coq
isambwe,mongoose,mangouste
isazi,fly,mouche
isekuro,mortar,mortier
ishu,cabbage,chou
isitimu,torch,torche
isoya,soy,soja
isuka,hoe,houe
itara,lamp,lampe
itomati,tomato,tomate
ivi,knee,genou
ivoka,avocado,avocat
ivomo,tap,robinet
ivubi,wasp,guêpe
iziko,fireplace,foyer
izosi,neck,cou
izuba,sun,soleil
izuru,nose,nez
mawe,mum,maman
uburiri,bed,lit
ubushaza,peas,petit pois
ukuboko,arm,bras
ukuguru,leg,jambe
umubikira,nun,religieuse
umubu,mosquito,moustique
umuceri,rice,riz
umuco,light,lumière
umucungwe,orange,orange
umudari,medal,médaille
umuduga,car,voiture
umufuko,sack,sac
umugabo,man,homme
umugeni,bride,mariée
umugozi,rope,corde
umuhini,handle,manche
umuhogo,throat,gorge
umuhoro,sickle,faucille
umuhwi,banana,banane
umukate,bread,pain
umunara,tower,tour
umupatiri,priest,prêtre
umupira,ball,ballon
umuserebanyi,lizard,lézard
umusiba,earthworm,ver de terre
umusigati,sugar cane,canne à sucre
umusozi,mountain,montagne
umusumbarembe,giraffe,girafe
umuswi,chick,poussin
umutaka,umbrella,parapluie
umutemere,cover,couvercle
umuti,medicine,médicament
umutima,heart,coeur
umutoto,banana leaf,feuille de bananier
umwembe,mango,mangue
umwungu,pumpkin,courge
urubaho,board,tableau
urugi,door,porte
uruhome,wall,mur
urukwavu,rabbit,lapin
urupapuro,paper,papier
ururimi,tongue,langue
urutete,grain,graine
urutoke,finger,doigt
urutugu,shoulder,épaule
uruvo,chameleon,caméléon
uruyuki,bee,abeille
